techniques,total_ratings_with,total_fives_with,total_fours_with,total_threes_with,total_twos_with,total_ones_with,total_ratings_without,total_fives_without,total_fours_without,total_threes_without,total_twos_without,total_ones_without,mean_rating_with,mean_rating_without,one_ratio_with,one_ratio_without
acidulate,35,26,7,1,0,0,829616,598642,137510,31193,10973,9157,4.6,4.421240670382442,0.0,0.011037636689745617
barbecue,5670,4031,1043,199,71,54,823981,594637,136474,30995,10902,9103,4.430335097001763,4.421185682679576,0.009523809523809525,0.011047584835087217
baste,4154,2954,734,167,65,41,825497,595714,136783,31027,10908,9116,4.424169475204622,4.421233511448254,0.009870004814636495,0.011043044372057076
blanche,1282,961,198,38,18,12,828369,597707,137319,31156,10955,9145,4.49219968798752,4.421138405710499,0.0093603744149766,0.011039766094578624
boil,201382,145123,33487,7520,2837,2339,628269,453545,104030,23674,8136,6818,4.420136854336534,4.421604440136311,0.011614742131868788,0.010852039492637707
braise,624,458,99,26,9,8,829027,598210,137418,31168,10964,9149,4.471153846153846,4.421210648145356,0.01282051282051282,0.01103582874864148
brine,1543,1075,302,53,26,17,828108,597593,137215,31141,10947,9140,4.4141283214517175,4.4212614779714725,0.01101749837977965,0.011037207707207272
broast,1,0,1,0,0,0,829650,598668,137516,31194,10973,9157,4.0,4.421248719339481,0.0,0.01103718435484843
caramelize,5390,3733,914,205,84,148,824261,594935,136603,30989,10889,9009,4.313914656771799,4.421950086198425,0.027458256029684602,0.010929790442590393
casserole,33971,24520,5639,1263,453,357,795680,574148,131878,29931,10520,8800,4.421653763504166,4.421230896842952,0.010508963527714816,0.011059722501508143
charbroil,5,4,0,1,0,0,829646,598664,137517,31193,10973,9157,4.6,4.421247134319938,0.0,0.011037237568794402
curdle,825,596,138,28,8,11,828826,598072,137379,31166,10965,9146,4.415757575757576,4.42125367688755,0.013333333333333334,0.011034885488630906
cure,5545,3983,940,211,76,70,824106,594685,136577,30983,10897,9087,4.42380522993688,4.421231006690887,0.012623985572587917,0.011026494164585624
deglaze,3396,2518,538,141,35,33,826255,596150,136979,31053,10938,9124,4.495877502944641,4.420941476904829,0.009717314487632508,0.011042595808799946
degrease,157,118,21,6,2,1,829494,598550,137496,31188,10971,9156,4.439490445859873,4.421244758852987,0.006369426751592357,0.01103805452480669
dredge,7122,5149,1163,287,73,83,822529,593519,136354,30907,10900,9074,4.421089581578208,4.421249585121011,0.011654029766919404,0.011031829880770162
emulsify,267,199,41,12,2,3,829384,598469,137476,31182,10971,9154,4.50187265917603,4.4212222565180905,0.011235955056179775,0.011037107057768175
ferment,444,326,72,9,3,5,829207,598342,137445,31185,10970,9152,4.405405405405405,4.421256694649225,0.01126126126126126,0.011037051062038792
fillet,7931,5699,1319,286,101,100,821720,592969,136198,30908,10872,9057,4.404362627663598,4.4214111862921675,0.012608750472828143,0.011022002628632625
flambe,76,59,13,3,0,0,829575,598609,137504,31191,10973,9157,4.684210526315789,4.421224120784739,0.0,0.011038182201729802
fry,73603,53300,12115,2683,934,826,756048,545368,125402,28511,10039,8331,4.425132127766531,4.420870103485493,0.011222368653451626,0.01101914164180052
glaze,14297,10369,2297,546,172,162,815354,588299,135220,30648,10801,8995,4.418899069734909,4.4212894031304195,0.011331048471707352,0.011032017994637912
grill,39819,28825,6591,1417,518,428,789832,569843,130926,29777,10455,8729,4.425123684673146,4.421052831488216,0.010748637585072452,0.011051717327229081
macerate,147,111,24,4,0,1,829504,598557,137493,31190,10973,9156,4.517006802721088,4.42123124180233,0.006802721088435374,0.011037921456677726
marinate,19355,13897,3255,747,262,207,810296,584771,134262,30447,10711,8950,4.41627486437613,4.42136700662474,0.010694910875742702,0.011045346391935787
microwave,31606,22971,5313,1131,349,339,798045,575697,132204,30063,10624,8818,4.446529140036702,4.420246978553841,0.010725811554768082,0.011049502221052698
parbake,5,3,2,0,0,0,829646,598665,137515,31194,10973,9157,4.6,4.421247134319938,0.0,0.011037237568794402
parboil,766,556,118,25,14,11,828885,598112,137399,31169,10959,9146,4.394255874673629,4.421273156107301,0.014360313315926894,0.01103410002593846
poach,2253,1663,338,78,27,32,827398,597005,137179,31116,10946,9125,4.432756324900133,4.421216875071006,0.014203284509542832,0.011028549742687316
pressure,1643,1181,300,66,17,7,828008,597487,137217,31128,10956,9150,4.469872185027389,4.421151728002628,0.00426049908703591,0.011050617868426392
puree,22104,15902,3749,822,285,202,807547,582766,133768,30372,10688,8955,4.422005066956207,4.421227495117932,0.00913861744480637,0.011089137845846744
roast,31044,22423,5094,1145,416,336,798607,576245,132423,30049,10557,8821,4.416119056822574,4.421447595625883,0.010823347506764593,0.01104548294718178
saute,66278,47740,11206,2437,837,780,763373,550928,126311,28757,10136,8377,4.425133528470986,4.420910878430335,0.011768611002142491,0.010973665560610605
sear,5661,4163,864,186,74,62,823990,594505,136653,31008,10899,9095,4.423070128952482,4.421235694607944,0.010952128599187422,0.011037755312564472
shuck,476,362,72,13,3,4,829175,598306,137445,31181,10970,9153,4.510504201680672,4.4211969728947444,0.008403361344537815,0.011038683028311274
simmer,140061,101327,23032,5071,1908,1579,689590,497341,114485,26123,9065,7578,4.422151776725856,4.421064690613263,0.011273659334147264,0.010989138473585755
smoke,5545,4027,917,222,74,55,824106,594641,136600,30972,10899,9102,4.4494138863841295,4.421058698759626,0.009918845807033363,0.011044695706620264
steam,17983,12762,3171,725,253,188,811668,585906,134346,30469,10720,8969,4.41322360006673,4.421426001764268,0.010454317966968803,0.011050084517314962
stew,5484,3924,933,225,80,61,824167,594744,136584,30969,10893,9096,4.421590080233407,4.421245936806497,0.01112326768781911,0.011036598165177689
sweat,2423,1820,334,88,28,22,827228,596848,137183,31106,10945,9135,4.448204704911267,4.421169254425624,0.009079653322327692,0.011042904737267115
tenderize,760,537,133,36,9,12,828891,598131,137384,31158,10964,9145,4.4144736842105265,4.4212544230785475,0.015789473684210527,0.011032813723396684
zest,20626,15045,3264,726,298,230,809025,583623,134253,30468,10675,8927,4.425724813342383,4.42113408114706,0.011150974498206147,0.011034269645561015
